feature_set,target,model,subject_id,mae_min,r2
EMG,lt2,"GBM(n=50,d=2)",S004,2.7103,0.371
EMG,lt2,"GBM(n=50,d=2)",S005,7.7592,-0.956
EMG,lt2,"GBM(n=50,d=2)",S006,4.0069,-0.641
EMG,lt2,"GBM(n=50,d=2)",S007,1.4639,0.251
EMG,lt2,"GBM(n=50,d=2)",S008,1.4157,0.73
EMG,lt2,"GBM(n=50,d=2)",S009,6.1884,0.27
EMG,lt2,"GBM(n=50,d=2)",S010,3.6669,0.653
EMG,lt2,"GBM(n=50,d=2)",S011,4.1069,0.009
EMG,lt2,"GBM(n=50,d=2)",S012,2.5001,0.48
EMG,lt2,"GBM(n=50,d=2)",S013,4.5528,0.363
EMG,lt2,"GBM(n=50,d=2)",S014,3.5591,0.33
EMG,lt2,"GBM(n=50,d=2)",S016,2.1721,0.669
EMG,lt2,"GBM(n=50,d=2)",S017,2.7417,0.548
EMG,lt2,"GBM(n=50,d=2)",S018,2.0196,-0.449
EMG,lt2,"GBM(n=50,d=2)",S019,5.9764,0.241
EMG,lt2,"GBM(n=50,d=3)",S001,3.5839,0.522
EMG,lt2,"GBM(n=50,d=3)",S002,2.5977,0.363
EMG,lt2,"GBM(n=50,d=3)",S003,5.2959,0.297
EMG,lt2,"GBM(n=50,d=3)",S004,2.504,0.386
EMG,lt2,"GBM(n=50,d=3)",S005,7.469,-0.847
EMG,lt2,"GBM(n=50,d=3)",S006,3.5386,-0.426
EMG,lt2,"GBM(n=50,d=3)",S007,2.0098,-0.043
EMG,lt2,"GBM(n=50,d=3)",S008,1.9103,0.624
EMG,lt2,"GBM(n=50,d=3)",S009,6.3909,0.23
EMG,lt2,"GBM(n=50,d=3)",S010,3.4974,0.681
EMG,lt2,"GBM(n=50,d=3)",S011,4.2528,-0.081
EMG,lt2,"GBM(n=50,d=3)",S012,2.7439,0.36
EMG,lt2,"GBM(n=50,d=3)",S013,4.3899,0.407
EMG,lt2,"GBM(n=50,d=3)",S014,3.5434,0.369
EMG,lt2,"GBM(n=50,d=3)",S016,1.8919,0.722
EMG,lt2,"GBM(n=50,d=3)",S017,2.7668,0.525
EMG,lt2,"GBM(n=50,d=3)",S018,1.9866,-0.379
EMG,lt2,"GBM(n=50,d=3)",S019,5.6772,0.304
EMG,lt2,"GBM(n=100,d=2)",S001,4.2853,0.338
EMG,lt2,"GBM(n=100,d=2)",S002,2.6272,0.359
EMG,lt2,"GBM(n=100,d=2)",S003,4.9013,0.42
EMG,lt2,"GBM(n=100,d=2)",S004,2.9116,0.271
EMG,lt2,"GBM(n=100,d=2)",S005,7.9151,-1.046
