model_id,architecture_id,family,target,selected_epoch,n_folds,n_epochs_mean,final_train_mae_mean,final_train_mae_std,final_train_loss_mean,train_mae_slope_last_K_mean,train_loss_slope_last_K_mean,training_instability_mean,converged_rate,relative_change_last_K_mean,stability_window_epochs,convergence_relative_threshold
LSTM11_dbccd530,LSTM11,LSTM,lt2,20,18,20.0,0.2110184708056429,0.017988807711688894,0.08756008600747925,-0.005317141127576746,-0.004844527493668584,0.7067816397496426,0.0,0.22635797417604453,10,0.05
LSTM12_7a0b0e4c,LSTM12,LSTM,lt1,20,18,20.0,0.2516206516450382,0.014839532302061285,0.12250660962590763,-0.004732940853194997,-0.0051356287779568315,0.7523478461867293,0.05555555555555555,0.18008654268672408,10,0.05
LSTM12_54c0c089,LSTM12,LSTM,lt1,20,18,20.0,0.2430085271791267,0.023223002082036776,0.11951374008193298,-0.005415911484686416,-0.00498727383855261,0.7105289577260204,0.05555555555555555,0.20333791687353933,10,0.05
LSTM12_077261d7,LSTM12,LSTM,lt1,20,18,20.0,0.23132725529444656,0.01140608444009179,0.1045583946602971,-0.005220237508356371,-0.0050954899891603725,0.8034457161197074,0.0,0.20658412718998975,10,0.05
LSTM12_2d563dc8,LSTM12,LSTM,lt1,20,18,20.0,0.2388550666217283,0.02257964305634539,0.11182017925032192,-0.0054636808621665485,-0.0050803023456965045,0.7412876580919245,0.0,0.20995667624251926,10,0.05
LSTM12_0704d4cc,LSTM12,LSTM,lt1,20,18,20.0,0.2304939906562453,0.0195749478570753,0.10082460852449232,-0.0038435088435600784,-0.003362337793323447,0.6964342598938424,0.0,0.16031259706596238,10,0.05
LSTM12_7c2f1ff6,LSTM12,LSTM,lt1,20,18,20.0,0.22663947365344653,0.01725914512489124,0.09770982916477543,-0.003966321140974428,-0.0034561076782615003,0.6954555046740938,0.16666666666666666,0.16251533507797877,10,0.05
LSTM12_c83fc53f,LSTM12,LSTM,lt2,20,18,20.0,0.23822267264054992,0.020949515101943754,0.11061880878803572,-0.005862433231749787,-0.005579224049801317,0.7359409185078564,0.0,0.23345591594738144,10,0.05
LSTM12_4481c03f,LSTM12,LSTM,lt2,20,18,20.0,0.24154371914942724,0.014596366268807445,0.11102773001715426,-0.005420545996166434,-0.005969155559144185,0.6995844723563406,0.1111111111111111,0.2059127410123622,10,0.05
LSTM12_cd87b298,LSTM12,LSTM,lt2,20,18,20.0,0.23018550885299177,0.01908514265714121,0.1016940343658667,-0.0036319036942552155,-0.0030715915201739966,0.7189453016319143,0.1111111111111111,0.15198784131663567,10,0.05
LSTM12_9e3baa6a,LSTM12,LSTM,lt2,20,18,20.0,0.22845294234351451,0.017306412540780823,0.09762976816092755,-0.005414534748221604,-0.004881441523191983,0.728776131345326,0.0,0.217678350493512,10,0.05
LSTM12_059f9bdd,LSTM12,LSTM,lt2,20,18,20.0,0.22265042712635902,0.020968078040972442,0.09442827038532729,-0.002878011788569671,-0.0025202694412973306,0.7322623438916043,0.1111111111111111,0.12218755298105838,10,0.05
LSTM12_4d77d185,LSTM12,LSTM,lt2,20,18,20.0,0.22450342196769763,0.013929408824382788,0.09463245181620945,-0.003841714616859934,-0.003312897207434653,0.6409013345452865,0.1111111111111111,0.16256546881679132,10,0.05
LSTM13_a5eecb4a,LSTM13,LSTM,lt1,20,18,20.0,0.06942929696120594,0.0020289130243656382,0.009464767671484652,-0.0008313302460164784,-0.0002114256906873657,0.7460447119618182,0.0,0.113481342272793,10,0.05
LSTM13_a39b636b,LSTM13,LSTM,lt1,20,18,20.0,0.06942929696120594,0.0020289130243656382,0.009464767671484652,-0.0008313302460164784,-0.0002114256906873657,0.7460447119618182,0.0,0.113481342272793,10,0.05
