model_id,architecture_id,family,target,feature_set,with_abs,phase_split,subject_id,feature_name,modality,mean_abs_shap,mean_shap,mean_feature_value,mean_prediction,mean_base_value,n_windows,abs_shap_share,feature_rank_within_subject
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,hrv_dfa_alpha1,HRV,61.17652303247405,10.105295762261298,,-154.83154540425284,-126.84176254197375,319,0.02711670586094222,13
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,feat_smo2_x_dfa,Interaction,26.381231475016236,3.4816609443998074,,-154.83154540425284,-126.84176254197375,319,0.011693572283892442,29
Lin9_d65d8bae,Lin9,Lin,lt1,EMG+NIRS+HRV,False,full_window,S019,feat_rr_per_watt,Interaction,121.95513691261095,-12.626078973283823,,-154.83154540425284,-126.84176254197375,319,0.054057037111029625,3
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_rms,EMG,226.5510175954289,-129.85065869747933,23.240683890235744,-91.21319408114537,-112.90785646783958,242,0.07564475211441325,3
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_mav,EMG,166.0289510252262,93.2163106314337,25.114885410954965,-91.21319408114537,-112.90785646783958,242,0.055436603099030625,5
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_wl,EMG,86.91747089584557,50.922075035191895,22.56718824669926,-91.21319408114537,-112.90785646783958,242,0.02902150080856943,13
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_zcr,EMG,14.224347791195333,8.83129462776689,-5.328777240778223,-91.21319408114537,-112.90785646783958,242,0.00474947000492256,35
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_mdf,EMG,17.90678101507077,-16.83375676486118,2.3843527694378888,-91.21319408114537,-112.90785646783958,242,0.005979024174903731,33
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_mnf,EMG,4.586785995907254,3.9553121213707283,2.21005603487941,-91.21319408114537,-112.90785646783958,242,0.0015315150350896816,50
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_p_low,EMG,9.563774795886081,-7.83710048022768,-2.06942972506333,-91.21319408114537,-112.90785646783958,242,0.0031933176967882788,39
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_p_mid,EMG,18.933351137336935,16.812721315997084,2.0371980341320404,-91.21319408114537,-112.90785646783958,242,0.006321793071954377,30
