task,config,model,mae_min,mae_std,r2,rho,delta_vs_base,best
LT2,v0004-репликация,RF n=200,2.5711053485119804,0.8388905365893792,0.7657459680161407,0.8735685339689928,0.32840364450784065,False
LT2,Trend CV  60s,RF n=200,2.572492795901001,0.8480311921863216,0.7650632431353828,0.8739324490656356,0.3297910918968614,False
LT2,SampEn    60s,RF n=200,2.5741654545015153,0.8626763582700959,0.7640357188751989,0.8725151202335428,0.33146375049737564,False
LT2,SampEn   120s,RF n=200,2.5834176287757913,0.9115058837244905,0.76049444091966,0.868388406731274,0.3407159247716516,False
LT2,v0004-репликация,SVR rbf,2.8659405340221324,1.3561708841111841,0.6266831068224845,0.85285267961031,0.6232388300179927,False
LT2,SampEn    30s,SVR rbf,2.890719393183533,1.3844851599725514,0.6200269237136915,0.8509967252645496,0.6480176891793934,False
LT2,SampEn    60s,SVR rbf,2.9145984547800925,1.412784351897041,0.613490219566786,0.8466835889052374,0.6718967507759528,False
LT2,Trend CV 120s,SVR rbf,2.922548315827769,1.409893219016222,0.6104814364072642,0.8435059092983177,0.6798466118236295,False
LT2,Trend CV  60s,SVR rbf,2.934427961489003,1.4397038681765095,0.6060176526749756,0.8407383907629634,0.6917262574848633,False
LT2,SampEn   120s,SVR rbf,2.939432588553561,1.4059037071998526,0.6089566155456084,0.8442554870077152,0.6967308845494213,False
LT2,Trend CV  30s,SVR rbf,2.9490489519568692,1.4182253245249141,0.6017334666705441,0.8374615202686183,0.7063472479527295,False
